Dlgs,Article,Comma number,Comma content
300/1999,Art. 55,7.,"Al riordino del Magistrato delle acque di Venezia e del Magistrato per il Po si provvede, nel rispetto di quanto disposto dal <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1998-03-31;112"" target=""_blank"">decreto legislativo 31 marzo 1998, n. 112</a>, con i decreti previsti dall'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1997-03-15;59~art11-com3"" target=""_blank"">articolo 11, comma 3, della legge 15 marzo 1997, n.59</a>."
300/1999,Art. 55,8.,"A far data dal 1 gennaio 2000, le funzioni relative al settore agroindustriale esercitate dal ministero per le politiche agricole sono trasferite, con le inerenti risorse, al ministero dell'industria, del commercio e dell'artigianato. Per l'esercizio delle funzioni di cui agli articoli 35 e 36 del presente decreto legislativo il ministero dell'ambiente si avvale del Corpo forestale dello Stato. PERIODO SOPPRESSO DALLA <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2004-02-06;36"" target=""_blank"">L. 6 FEBBRAIO 2004, N. 36</a>."
300/1999,Art. 55,9.,"All'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1993-02-03;29~art46-com2"" target=""_blank"">articolo 46, comma 2, del decreto legislativo 3 febbraio 1993, n. 29</a>, le parole ""per le amministrazioni e le aziende autonome"" sono sostituite dalle parole ""per le amministrazioni, le agenzie e le aziende autonome""."
300/1999,Art. 56,1.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">1. </span>Il ministero delle finanze svolge le seguenti funzioni statali: </div><div class=""pointedList-rest-akn"">a) analisi, indagini e studi sulle politiche fiscali e sulla loro attuazione, ai fini della valutazione dei sistema tributario e delle scelte di settore in sede nazionale, comunitaria e internazionale;</div><div class=""pointedList-rest-akn"">b) predisposizione dei relativi atti normativi, di programmazione e di indirizzo e cura dei rapporti interni ed internazionali per il conseguimento degli obiettivi fissati;</div><div class=""pointedList-rest-akn"">c) indirizzo, vigilanza e controllo sui risultati di gestione delle agenzie fiscali, nel rispetto dell'autonomia gestionale ad esse attribuita; esercizio dei poteri di coordinamento e vigilanza attribuiti dalla legge su altri enti o organi che comunque esercitano funzioni in settori della fiscalità di competenza dello Stato;</div><div class=""pointedList-rest-akn"">d) coordinamento, secondo le modalità previste dal presente decreto e salva la possibilità di definire autonomamente forme di diretta collaborazione tra loro, delle attività e dei rapporti tra le agenzie fiscali e con gli altri enti e organi di cui alla lettera c);</div><div class=""pointedList-rest-akn"">e) coordinamento, monitoraggio e controllo, anche attraverso apposite strutture per l'attuazione di strategie di integrazione tra i sistemi del ministero, delle agenzie e della guardia di finanza, del sistema informativo della fiscalità e della rete unitaria di settore;</div><div class=""pointedList-rest-akn"">f) comunicazione istituzionale con i contribuenti e con l'opinione pubblica per favorire la corretta applicazione della legislazione tributaria;</div><div class=""pointedList-rest-akn"">g) amministrazione del personale e delle risorse necessarie allo svolgimento dei compiti del ministero e all'attività giurisdizionale delle commissioni tributarie.</div></div></div>"
300/1999,Art. 56,2.,"Fermi restando l'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1959-04-23;189~art1"" target=""_blank"">articolo 1 della legge 23 aprile 1959, n. 189</a>, l'autonomia organizzativa ed i compiti di polizia economica e finanziaria attribuiti al corpo della guardia di finanza, il coordinamento fra la guardia di finanza e le agenzie fiscali nelle attività operative inerenti alle funzioni trasferite alle agenzie stesse è curato sulla base delle direttive impartite dal ministro delle finanze per realizzare la migliore collaborazione nella lotta all'evasione fiscale."
300/1999,Art. 56,3.,Nell'esercizio delle proprio funzioni il ministero favorisce ed attua la cooperazione con le regioni e gli enti locali ed il coordinamento con le loro attività.
300/1999,Art. 57,1.,"Per la gestione delle funzioni esercitate dai dipartimenti delle entrate, delle dogane, del territorio e di quelle connesse svolte da altri uffici del ministero sono istituite l'agenzia delle entrate, l'agenzia delle dogane e dei monopoli e l'agenzia del demanio, di seguito denominate agenzie fiscali. Alle agenzie fiscali sono trasferiti i relativi rapporti giuridici, poteri e competenze che vengono esercitate secondo la disciplina dell'organizzazione interna di ciascuna agenzia. 42"
300/1999,Art. 57,2.,"Le regioni e gli enti locali possono attribuire alle agenzie fiscali, in tutto o in parte, la gestione delle funzioni ad essi spettanti, regolando con autonome convenzioni le modalità di svolgimento dei compiti e gli obblighi che ne conseguono."
300/1999,Art. 58,1.,Il ministero è organizzato secondo i principi di distinzione tra direzione politica e gestione amministrativa.
300/1999,Art. 58,2.,Gli uffici nei quali si articola il ministero fanno capo ad un unico dipartimento.
300/1999,Art. 58,3.,"L'organizzazione, la disciplina degli uffici e le dotazioni organiche del ministero sono stabilite con regolamento ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1988-08-23;400~art17-com4bis"" target=""_blank"">articolo 17, comma 4-bis, della legge 23 agosto 1988, n. 400</a>."
300/1999,Art. 59,1.,"Il ministro delle finanze dopo l'approvazione da parte del Parlamento del documento di programmazione economica-finanziaria ed in coerenza con i vincoli e gli obiettivi stabiliti in tale documento, determina annualmente, e comunque entro il mese di settembre, con un proprio atto di indirizzo e per un periodo almeno triennale, gli sviluppi della politica fiscale, le linee generali e gli obiettivi della gestione tributaria, le grandezze finanziarie e le altre condizioni nelle quali si sviluppa l'attività delle agenzie fiscali. Il documento di indirizzo è trasmesso al Parlamento."
300/1999,Art. 59,2.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">2. </span>Il ministro e ciascuna agenzia, sulla base del documento di indirizzo, stipulano una convenzione triennale, con adeguamento annuale per ciascun esercizio finanziario, con la quale vengono fissati:  </div><div class=""pointedList-rest-akn"">a) i servizi dovuti e gli obiettivi da raggiungere; </div><div class=""pointedList-rest-akn"">b) le direttive generali sui criteri della gestione ed i vincoli da rispettare; </div><div class=""pointedList-rest-akn"">c) le strategie per il miglioramento; </div><div class=""pointedList-rest-akn"">d) le risorse disponibili; </div><div class=""pointedList-rest-akn"">e) gli indicatori ed i parametri in base ai quali misurare l'andamento della gestione. </div></div></div>"
300/1999,Art. 59,3.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">3. </span>La convenzione prevede, inoltre:  </div><div class=""pointedList-rest-akn"">a) le modalità di verifica dei risultati di gestione; </div><div class=""pointedList-rest-akn"">b) le disposizioni necessarie per assicurare al ministero la conoscenza dei fattori gestionali interni all'agenzia, quali l'organizzazione, i processi e l'uso delle risorse. Le informazioni devono essere assunte in forma organizzata e sistematica ed esser tali da consentire una appropriata valutazione dell'attività svolta dall'agenzia; </div><div class=""pointedList-rest-akn"">c) le modalità di vigilanza sull'operato dell'agenzia sotto il profilo della trasparenza, dell'imparzialità e della correttezza nell'applicazione delle norme, con particolare riguardo ai rapporti con i contribuenti. </div></div></div>"
300/1999,Art. 59,4.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">4. </span>Nella convenzione sono stabiliti, nei limiti delle risorse stanziate su tre capitoli che vanno a comporre una unità previsionale di base per ciascuna agenzia, gli importi che vengono trasferiti, distinti per:  </div><div class=""pointedList-rest-akn"">a) gli oneri di gestione calcolati, per le diverse attività svolte dall'agenzia, sulla base di una efficiente conduzione aziendale e dei vincoli di servizio imposti per esigenze di carattere generale; </div><div class=""pointedList-rest-akn"">b) le spese di investimento necessarie per realizza e i miglioramenti programmati; </div><div class=""pointedList-rest-akn"">c) la quota incentivante connessa al raggiungimento degli obiettivi della gestione e graduata in modo da tenere conto del miglioramento dei risultati complessivi e del recupero di gettito nella lotta all'evasione effettivamente conseguiti. </div></div></div>"
300/1999,Art. 59,5.,"Il ministero e le agenzie fiscali possono promuovere la costituzione o partecipare a società e consorzi che, secondo le disposizioni del <a href=""/uri-res/N2Ls?urn:nir:stato:codice.civile:1942-03-16;262"" target=""_blank"">codice civile</a>, abbiano ad oggetto la prestazione di servizi strumentali all'esercizio delle funzioni pubbliche ad essi attribuite; a tal fine, può essere ampliato l'oggetto sociale della società costituita in base alle disposizioni dell'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1998-05-08;146~art10-com12"" target=""_blank"">articolo 10, comma 12, della legge 8 maggio 1998, n.146</a>, fermo restando che il ministero e le agenzie fiscali detengono la maggioranza delle azioni ordinarie della predetta società.  48"
300/1999,Art. 60,1.,"Le agenzie sono sottoposte all'alta vigilanza del ministro, il quale la esercita secondo le modalità previste nel presente decreto legislativo."
300/1999,Art. 60,2.,"Le deliberazioni del comitato di gestione relative agli statuti, ai regolamenti e agli atti di carattere generale, individuati nella convenzione di cui all'articolo 59, che regolano il funzionamento delle agenzie sono trasmesse, per l'approvazione, al Ministro dell'economia e delle finanze. L'approvazione può essere negata per ragioni di legittimità o di merito. Le deliberazioni si intendono approvate ove nei quarantacinque giorni dalla ricezione delle stesse non venga emanato alcun provvedimento ovvero non vengano chiesti chiarimenti o documentazione integrativa; in tale ultima ipotesi il termine per l'approvazione è interrotto sino a che non pervengono gli elementi richiesti. Per l'approvazione dei bilanci e dei piani pluriennali di investimento si applicano le disposizioni del <a href=""/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1998-11-09;439"" target=""_blank"">decreto del Presidente della Repubblica 9 novembre 1998, n. 439</a>. Per l'Agenzia del demanio le disposizioni di cui ai primi tre periodi del presente comma si applicano con riferimento alle deliberazioni del comitato di gestione relative agli statuti, ai regolamenti ed ai bilanci"
300/1999,Art. 60,3.,"Fermi i controlli sui risultati e quanto previsto dal comma 2, gli altri atti di gestione delle agenzie non sono sottoposti a controllo ministeriale preventivo."
300/1999,Art. 61,1.,Le agenzie fiscali hanno personalità giuridica di diritto pubblico.  L'Agenzia del demanio è ente pubblico economico.
300/1999,Art. 61,2.,"In conformità con le disposizioni del presente decreto legislativo e dei rispettivi statuti, le agenzie fiscali hanno autonomia regolamentare, amministrativa, patrimoniale, organizzativa, contabile e finanziaria."
300/1999,Art. 61,3.,"Le agenzie fiscali operano nell'esercizio delle funzioni pubbliche ad esse affidate in base ai principi di legalità, imparzialità e trasparenza, con criteri di efficienza, economicità ed efficacia nel perseguimento delle rispettive missioni."
300/1999,Art. 61,4.,"COMMA ABROGATO DALLA <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2000-11-24;340"" target=""_blank"">L. 24 NOVEMBRE 2000, N. 340</a>."
300/1999,Art. 62,1.,"All'agenzia delle entrate sono attribuite tutte le funzioni concernenti le entrate tributarie erariali che non sono assegnate alla competenze di altre agenzie, amministrazioni dello Stato ad ordinamento autonomo, enti od organi, con il compito di perseguire il massimo livello di adempimento degli obblighi fiscali sia attraverso l'assistenza ai contribuenti, sia attraverso i controlli diretti a contrastare gli inadempimenti e l'evasione fiscale. L'agenzia delle entrate svolge, inoltre, le funzioni di cui all'articolo 64. (42)"
300/1999,Art. 62,2.,"L'agenzia è competente in particolare a svolgere i servizi relativi alla amministrazione, alla riscossione e al contenzioso dei tributi diretti e dell'imposta sul valore aggiunto, nonché di tutte le imposte, diritti o entrate erariali o locali, entrate anche di natura extratributaria, già di competenza del dipartimento delle entrate del ministero delle finanze o affidati alla sua gestione in base alla legge o ad apposite convenzioni stipulate con gli enti impositori o con gli enti creditori. Le funzioni e i compiti in materia di riscossione sono disciplinati dall'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2016-10-22;193~art1"" target=""_blank"">articolo 1 del decreto-legge 22 ottobre 2016, n. 193</a>, convertito, con modificazioni, dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2016-12-01;225"" target=""_blank"">legge 1° dicembre 2016, n. 225</a>."
300/1999,Art. 62,3.,In fase di prima applicazione il ministro delle finanze stabilisce con decreto i servizi da trasferire alla competenza dell'agenzia.
300/1999,Art. 63,1.,"L'agenzia delle dogane e dei monopoli è competente a svolgere i servizi relativi all'amministrazione, alla riscossione e al contenzioso dei diritti doganali e della fiscalità interna negli scambi internazionali, delle accise sulla produzione e sui consumi, escluse quelle sui tabacchi lavorati, operando in stretto collegamento con gli organi dell'Unione europea nel quadro dei processi di armonizzazione e di sviluppo dell'unificazione europea.All'agenzia spettano tutte le funzioni attualmente svolte dal dipartimento delle dogane e dei monopoli del ministero delle finanze, incluse quelle esercitate in base ai trattati dell'Unione europea o ad altri atti e convenzioni internazionali. L'agenzia svolge, inoltre, le funzioni già di competenza dell'Amministrazione autonoma dei Monopoli di Stato. 42"
300/1999,Art. 63,2.,L'agenzia gestisce con criteri imprenditoriali i laboratori doganali di analisi; può anche offrire sul mercato le relative prestazioni.
300/1999,Art. 63,3.,In fase di prima applicazione il ministro delle finanze stabilisce con decreto i servizi da trasferire alla competenza dell'agenzia.
300/1999,Art. 64,1.,"L'agenzia delle entrate è inoltre competente a svolgere i servizi relativi al catasto, i servizi geotopocartografici e quelli relativi alle conservatorie dei registri immobiliari, con il compito di costituire l'anagrafe dei beni immobiliari esistenti sul territorio nazionale sviluppando, anche ai fini della semplificazione dei rapporti con gli utenti, l'integrazione fra i sistemi informativi attinenti alla funzione fiscale ed alle trascrizioni ed iscrizioni in materia di diritti sugli immobili. L'agenzia opera in stretta collaborazione con gli enti locali per favorire lo sviluppo di un sistema integrato di conoscenze sul territorio."
300/1999,Art. 64,2.,"L'agenzia costituisce l'organismo tecnico di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1998-03-31;112~art67"" target=""_blank"">articolo 67 del decreto legislativo 31 marzo 1998 n.112</a> e può gestire, sulla base di apposite convenzioni stipulate con i comuni o, a livello provinciale con le associazioni degli enti locali, i servizi relativi alla tenuta e all'aggiornamento del catasto."
300/1999,Art. 64,3.,L'agenzia gestisce l'osservatorio del mercato immobiliare.
300/1999,Art. 64,3-bis.,"Ferme le attività di valutazione immobiliare per le amministrazioni dello Stato di competenza dell'Agenzia del demanio, l'Agenzia delle entrate è competente a svolgere le attività di valutazione immobiliare e tecnico-estimative richieste dalle amministrazioni pubbliche di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art1-com2"" target=""_blank"">articolo 1, comma 2, del decreto legislativo 30 marzo 2001, n. 165</a>, e dagli enti ad esse strumentali.Le predette attività sono disciplinate mediante accordi, secondo quanto previsto dall'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1990-08-07;241~art15"" target=""_blank"">articolo 15 della legge 7 agosto 1990, n. 241</a>, e successive modificazioni. Tali accordi prevedono il rimborso dei costi sostenuti dall'Agenzia, la cui determinazione è stabilita nella Convenzione di cui all'articolo 59."
300/1999,Art. 64,4.,"Il comitato di gestione di cui all'articolo 67 del presente decreto legislativo è integrato, per l'agenzia delle entrate, da due membri nominati su designazione della Conferenza Stato-città ed autonomie locali. 43  (42)"
300/1999,Art. 65,1.,"All'agenzia del demanio è attribuita l'amministrazione dei beni immobili dello Stato, con il compito di razionalizzarne e valorizzarne l'impiego, di sviluppare il sistema informativo sui beni del demanio e del patrimonio, utilizzando in ogni caso, nella valutazione dei beni a fini conoscitivi ed operativi, criteri di mercato, di gestire con criteri imprenditoriali i programmi di vendita, di provvista, anche mediante l'acquisizione sul mercato, di utilizzo e di manutenzione ordinaria e straordinaria di tali immobili. All'agenzia è altresì attribuita la gestione dei beni confiscati. 42"
300/1999,Art. 65,2.,"L'agenzia può stipulare convenzioni per le gestioni dei beni immobiliari con le regioni gli enti locali ed altri enti pubblici.Può avvalersi, a supporto delle proprie attività estimative e sulla base di apposita convenzione, dei dati forniti dall'osservatorio del mercato immobiliare dell'agenzia del territorio."
300/1999,Art. 65,2-bis.,"L'Agenzia del demanio è dotata di un proprio patrimonio, costituito da un fondo di dotazione e dai beni mobili ed immobili strumentali alla sua attività. Con decreto del Ministro dell'economia e delle finanze sono individuati i beni che costituiscono il patrimonio iniziale."
300/1999,Art. 66,1.,"Le agenzie fiscali sono regolate dal presente decreto legislativo, nonché dai rispettivi statuti, deliberati da ciascun comitato di gestione ed approvati con le modalità di cui all'articolo 60 dal ministro delle finanze.  L'Agenzia del demanio è regolata, salvo che non sia diversamente disposto dal presente decreto legislativo, dal <a href=""/uri-res/N2Ls?urn:nir:stato:codice.civile:1942-03-16;262"" target=""_blank"">codice civile</a> e dalle altre leggi relative alle persone giuridiche private."
300/1999,Art. 66,2.,"Gli statuti disciplinano le competenze degli organi di direzione dell'agenzia, istituendo inoltre apposite strutture di controllo interno, e recano principi generali in ordine alla organizzazione ed al funzionamento dell'agenzia, prevedendo forme adeguate di consultazione con le organizzazioni sindacali."
300/1999,Art. 66,3.,"L'articolazione degli uffici, a livello centrale e periferico, è stabilita con disposizioni interne che si conformano alle esigenze della conduzione aziendale favorendo il decentramento delle responsabilità operative, la semplificazione dei rapporti con i cittadini e il soddisfacimento delle necessità dei contribuenti meglio compatibile con i criteri di economicità e di efficienza dei servizi"
300/1999,Art. 67,1.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">1. </span>Sono organi delle agenzie fiscali:  </div><div class=""pointedList-rest-akn"">a) il direttore dell'agenzia, scelto in base a criteri di alta professionalità, di capacità manageriale e di qualificata esperienza nell'esercizio di funzioni attinenti al settore operativo dell'agenzia; </div><div class=""pointedList-rest-akn"">b) il comitato di gestione, composto da quattro membri e dal direttore dell'agenzia, che lo presiede; </div><div class=""pointedList-rest-akn"">c) il collegio dei revisori dei conti. </div></div></div>"
300/1999,Art. 67,2.,"Il direttore è nominato con decreto del Presidente della Repubblica previa deliberazione del consiglio dei ministri, su proposta del ministro delle finanze, sentita la conferenza unificata Stato-regioni-autonomie locali. L'incarico ha la durata massima di tre anni, è rinnovabile ed è incompatibile con altri rapporti di lavoro subordinato e con qualsiasi altra attività professionale pubblica o privata. (13)"
300/1999,Art. 67,3.,"Il comitato di gestione è nominato per la durata di tre anni con decreto del Presidente del Consiglio dei Ministri, su proposta del Ministro dell'economia e delle finanze. Metà dei componenti sono scelti tra i dipendenti di pubbliche amministrazioni , ferma restando ai fini della scelta la legittimazione già riconosciuta a quelli rientranti nei settori di cui all'articolo 19, comma 6, terzo periodo, del <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165"" target=""_blank"">decreto legislativo 30 marzo 2001, n. 165</a>, ovvero tra soggetti ad esse esterni dotati di specifica competenza professionale attinente ai settori nei quali opera l'agenzia. I restanti componenti sono scelti tra i dirigenti dell'agenzia. (31)"
300/1999,Art. 67,4.,"Il collegio dei revisori dei conti è composto dal presidente, da due membri effettivi e due supplenti iscritti al registro dei revisori contabili, nominati con decreto del ministro delle finanze di concerto con il ministro del tesoro, del bilancio e della programmazione economica. I revisori durano in carica tre anni e possono essere confermati una sola volta. Il collegio dei revisori dei conti esercita le funzioni di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:codice.civile:1942-03-16;262~art2403"" target=""_blank"">articolo 2403 del codice civile</a>, in quanto applicabile."
300/1999,Art. 67,5.,"I componenti del comitato di gestione non possono svolgere attività professionale, né essere amministratori o dipendenti di società o imprese, nei settori di intervento dell'agenzia."
300/1999,Art. 67,6.,"I compensi dei componenti degli organi collegiali sono stabiliti con decreto del ministro delle finanze, di concerto con il ministro del tesoro, del bilancio e della programmazione economica e sono posti a carico del bilancio dell'agenzia. (13)"
300/1999,Art. 68,1.,"Il direttore rappresenta l'agenzia e la dirige, emanando tutti i provvedimenti che non siano attribuiti, in base alle norme del presente decreto legislativo o dello statuto, ad altri organi."
300/1999,Art. 68,2.,"Il comitato di gestione delibera, su proposta del presidente, lo statuto, i regolamenti e gli altri atti di carattere generale che regolano il funzionamento dell'agenzia, i bilanci preventivi e consuntivi, i piani aziendali e le spese che impegnino il bilancio dell'agenzia, anche se ripartite in più esercizi, per importi superiori al limite fissato dallo statuto. Il direttore sottopone alla valutazione del  comitato di gestione  le scelte strategiche aziendali e le nomine dei dirigenti responsabili delle strutture di vertice a livello centrale e periferico."
300/1999,Art. 69,1.,"Nei casi di gravi inosservanze degli obblighi sanciti nella convenzione, di risultati particolarmente negativi della gestione, di manifesta impossibilità di funzionamento degli organi di vertice dell'agenzia o per altre gravi ragioni di interesse pubblico, con decreto dei presidente del consiglio dei ministri su proposta del ministro delle finanze può essere nominato un commissario straordinario, il quale assume i poteri, previsti dal presente decreto legislativo e dallo statuto di ciascuna agenzia, del direttore del  comitato di gestione  dell'agenzia. Per i compensi del commissario straordinario si applicano le disposizioni dell'articolo 67, comma 6."
300/1999,Art. 69,2.,La nomina è disposta per il periodo di un anno e può essere prorogata per non oltre sei mesi. A conclusione dell'incarico del commissario sono nominati il direttore e il comitato di gestione subentranti.
300/1999,Art. 70,1.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">1. </span>Le entrate delle agenzie fiscali sono costituite da: </div><div class=""pointedList-rest-akn"">a) i finanziamenti erogati in base alle disposizioni dell'articolo 59 del presente decreto legislativo a carico del bilancio dello Stato;</div><div class=""pointedList-rest-akn"">b) i corrispettivi per i servizi prestati a soggetti pubblici o privati, incluse le amministrazioni statali per le prestazioni che non rientrano nella convenzione di cui all'articolo 59;</div><div class=""pointedList-rest-akn"">c) altri proventi patrimoniali e di gestione.</div></div></div>"
300/1999,Art. 70,2.,"I finanziamenti di cui al comma 1, lettera a), vengono determinati in modo da tenere conto dell'incremento dei livelli di adempimento fiscale e del recupero di gettito nella lotta all'evasione. I finanziamenti vengono accreditati a ciascuna Agenzia su apposita contabilità speciale soggetta ai vincoli del sistema di tesoreria unica"
300/1999,Art. 70,3.,"Le agenzie, che possono stipulare convenzioni con aziende di credito per la gestione del servizio di tesoreria, non hanno facoltà di accendere mutui, né di adire ad alcuna forma di indebitamento, fatta eccezione per le anticipazioni di cassa previste nelle convenzioni per la gestione del servizio di tesoreria."
300/1999,Art. 70,4.,In sede di prima attuazione i finanziamenti di cui alla lettera a) del comma 1 sono determinati sulla base delle assegnazioni di bilancio iscritte nello stato di previsione del ministero delle finanze destinate all'espletamento delle funzioni trasferite a ciascuna agenzia.
300/1999,Art. 70,5.,"Il comitato di gestione delibera il regolamento di contabilità, che è sottoposto al ministro delle finanze secondo le disposizioni dell'articolo 60. Il regolamento si conforma, nel rispetto delle disposizioni generali in materia di contabilità pubblica e anche prevedendo apposite note di raccordo della contabilità aziendale, ai principi desumibili dagli <a href=""/uri-res/N2Ls?urn:nir:stato:codice.civile:1942-03-16;262~art2423"" target=""_blank"">articoli 2423 e seguenti del codice civile</a>."
300/1999,Art. 70,6.,Le agenzie fiscali non possono impegnare o erogare spese eccedenti le entrate. I piani di investimento e gli impegni a carattere pluriennale devono conformarsi al limite costituito dalle risorse finanziarie stabilite dalla legge finanziaria e dalle altre entrate proprie delle agenzie fiscali.
300/1999,Art. 71,1.,"Il rapporto di lavoro del personale dipendente delle agenzie fiscali è disciplinato dalla contrattazione collettiva e dalle leggi che regolano il rapporto di lavoro privata, in conformità delle norme del <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1993-02-03;29"" target=""_blank"">decreto legislativo 3 febbraio 1993, n. 29</a>, e successive modificazioni ed integrazioni, anche per quanto attiene alla definizione del comparto di contrattazione per le agenzie fiscali; ciascuna agenzia definisce la contrattazione integrativa aziendale di secondo livello."
300/1999,Art. 71,2.,"Al fine di garantire l'imparzialità e il buon andamento nell'esercizio della funzione pubblica assegnata alle agenzie fiscali, con regolamento da emanare entro sei mesi dall'entrata in vigore del presente decreto legislativo, ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1988-08-23;400~art17-com2"" target=""_blank"">articolo 17, comma 2, della legge 23 agosto 1988, n. 400</a>, sono emanate disposizioni idonee a garantire l'indipendenza e l'autonomia tecnica del personale."
300/1999,Art. 71,3.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">3. </span>Il regolamento di amministrazione è deliberato, su proposta del direttore dell'agenzia, dal comitato di gestione ed è sottoposto al ministro vigilante secondo le disposizioni dell'articolo 60 del presente decreto legislativo. In particolare esso, in conformità con i principi contenuti nel <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1993-02-03;29"" target=""_blank"">decreto legislativo 3 febbraio 1993, n.29</a>, e successive modificazioni ed integrazioni: </div><div class=""pointedList-rest-akn"">a) disciplina l'organizzazione e il funzionamento dell'agenzia;</div><div class=""pointedList-rest-akn"">b) detta le norme per l'assunzione del personale dell'agenzia, per l'aggiornamento e per la formazione professionale;</div><div class=""pointedList-rest-akn"">c) fissa le dotazioni organiche complessive del personale dipendente dall'agenzia;</div><div class=""pointedList-rest-akn"">d) determina le regole per l'accesso alla dirigenza.</div></div></div>"
300/1999,Art. 73,1.,"Con decreto ministeriale può essere costituita, alle dirette dipendenze del ministro delle finanze, un'apposita struttura interdisciplinare di elevata qualificazione scientifica e professionale. La struttura collabora con il ministro al fine di curare la transizione durante le fasi del cambiamento e fino al pieno funzionamento del regime di gestione previsto dal presente decreto legislativo. Alle relative spese si provvede con gli stanziamenti ordinari dello stato di previsione della spesa del ministero delle finanze e dello stato di previsione della spesa dell'amministrazione autonoma dei monopoli di Stato. Quando vengono trattate questioni riguardanti le materie trattate dalle agenzie fiscali, alle riunioni della struttura di cui al presente comma partecipano, senza oneri a carico del bilancio dello Stato, i direttori delle agenzie interessate. 31"
300/1999,Art. 73,2.,Il ministro delle finanze provvede con propri decreti a definire e rendere esecutive le fasi della trasformazione.
300/1999,Art. 73,3.,"Entro il termine di sei mesi dalla data di entrata in vigore del presente decreto legislativo, vengono nominati il direttore e i comitati direttivi di ciascuna agenzia. Con propri decreti il ministro delle finanze approva gli statuti provvisori e le disposizioni necessarie al primo funzionamento di ciascuna agenzia."
300/1999,Art. 73,4.,"Il ministro delle finanze stabilisce le date a decorrere dalle quali le funzioni svolte dal ministero, secondo l'ordinamento vigente, vengono esercitate dalle agenzie. Da tale data le funzioni cessano di essere esercitate dai dipartimenti del ministero."
300/1999,Art. 73,5.,Il ministro delle finanze dispone con decreto in ordine alle assegnazioni di beni e personale afferenti alle attività di ciascuna agenzia.
300/1999,Art. 73,6.,I termini di cui al presente articolo possono essere modificati con decreto del ministro delle finanze.
300/1999,Art. 73,7.,"Con l'entrata in vigore del regolamento di cui all'articolo 58, comma 3, sono abrogate tutte le norme sulla organizzazione e sulla disciplina degli uffici dell'amministrazione finanziaria incompatibili con le disposizioni del presente decreto legislativo e, in particolare quelle del <a href=""/uri-res/N2Ls?urn:nir:stato:regio.decreto.legge:1927-12-08;2258"" target=""_blank"">regio decreto-legge 8 dicembre 1927, n. 2258</a> e successive integrazioni e modifiche, del <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1990-04-26;105"" target=""_blank"">decreto legislativo 26 aprile 1990, n. 105</a> e successive integrazioni e modifiche, della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:1991-10-29;358"" target=""_blank"">legge 29 ottobre 1991, n. 358</a> e successive integrazioni e modifiche degli articoli, da 9 a 12 della <a href=""/uri-res/N2Ls?urn:nir:stato:legge:1980-04-24;146"" target=""_blank"">legge 24 aprile 1980, n.146</a> e successive integrazioni e modifiche."
300/1999,Art. 74,1.,"A partire dalla data fissata con decreto del ministro delle finanze, tutto il personale del ministero è incluso in un ruolo speciale e distaccato presso i nuovi uffici del ministero o presso le agenzie fiscali secondo un piano diretto a consentire l'avvio delle attività in conformità con le trasformazioni attuate con il presente decreto legislativo. Il piano si conforma, previa concertazione con le organizzazioni sindacali, a criteri di maggiore aderenza alle funzioni ed alle attività svolte in precedenza dai singoli dipendenti, inclusi quelli appartenenti ad uffici soppressi."
