Question,Answer 1,Answer 2,Answer 3
Quando si consuma un furto commesso nel supermercato?,Solo nel momento del passaggio per la cassa con la merce occultata.,Appena il cliente preleva la merce dai banchi di vendita e la occulta.,Quando il cliente sosta davanti alla cassa con la merce occultata sulla propria persona.
"La pubblicazione, anche parziale, degli atti relativi alla intercettazione di conversazioni o comunicazioni telefoniche, o del flusso di comunicazioni informatiche o telematiche, se non piÃ¹ coperti dal segreto:",Ã¨ vietata fino alla conclusione delle indagini preliminari ovvero fino al termine dell'udienza preliminare,non Ã¨ mai vietata,Ã¨ sempre vietata
Agli effetti dellâ€™applicazione delle misure cautelari si ha riguardo:,alla pena stabilita dalla legge per ciascun reato consumato o tentato,Alla gravitÃ  delle esigenze cautelari,alla pena stabilita dalla legge per ciascun reato consumato
Il medico che omette di curare il paziente lasciandolo morire:,risponde di omicidio per omissione.,risponde di abbandono di persona incapace.,risponde soltanto di omissione di soccorso.
Ãˆ compreso tra i delitti propri dei Pubblici Ufficiali contro la pubblica amministrazione:  ,corruzione in atti giudiziari.,millantato credito.,subornazione.
"Il fatto che secondo una legge posteriore al tempo della sua commissione non costituisce piÃ¹ reato, Ã¨ punibile?","No, salvo il caso in cui sia previsto da leggi eccezionali o temporanee.","SÃ¬, se si tratta di delitto.","No, in nessun caso."
"Ai sensi della legge 689/1981, nelle violazioni cui Ã¨ applicabile una sanzione amministrativa, ciascuno Ã¨ responsabile:","della propria azione od omissione, cosciente e volontaria, sia essa dolosa o colposa.","della propria azione od omissione, cosciente e volontaria, compiuta esclusivamente con colpa grave o cosciente.","della propria azione od omissione, cosciente e volontaria, compiuta esclusivamente con colpa."
Il Pubblico Ufficiale che procede ad un arresto abusando dei poteri inerenti alle sue funzioni risponde del delitto di:,arresto illegale.,indebita limitazione della libertÃ  personale.,sequestro di persona aggravato.
Se il giudice ritiene che un minore degli anni diciotto sia capace di intendere e di volere:,la pena Ã¨ diminuita.,la pena Ã¨ quella edittale.,Ã¨ comunque esclusa la punibilitÃ  perchÃ© minore.
Cosa prevede la legge n. 689/1981 per l'ipotesi in cui piÃ¹ persone concorrano in una violazione amministrativa?,"Ciascuna di esse soggiace alla sanzione per questa disposta, salvo che sia diversamente stabilito dalla legge.","Ciascuna di esse soggiace alla sanzione per questa disposta, maggiorata di un terzo.",La sanzione Ã¨ ripartita tra tutte le persone che hanno concorso nella violazione.
Il soggetto passivo del reato Ã¨:,il titolare dell'interesse protetto dalla norma penale.,il danneggiato dal reato.,colui il quale non prende parte alla condotta.
Quando l'evento dannoso Ã¨ impossibile per l'inidoneitÃ  dell'azione:,Ã© esclusa la punibilitÃ .,Ã© esclusa l'imputabilitÃ .,non Ã¨ esclusa la punibilitÃ .
La circostanza del reato comporta:,una modificazione quantitativa o qualitativa della pena edittale.,soltanto una modificazione qualitativa della pena edittale.,soltanto una modificazione quantitativa della pena edittale.
Nelle contravvenzioni ciascuno risponde della propria azione od omissione:,"se cosciente e volontaria, sia essa dolosa o colposa.","se cosciente e volontaria, ma soltanto se dolosa.",anche se non cosciente e volontaria.
Tra i seguenti reati qual Ã¨ di pura condotta?,Il rifiuto di atti di ufficio.,Le lesioni personali.,La truffa.
"Secondo il principio di legalitÃ , fonte del diritto penale possono essere:",atti normativi primari.  ,atti amministrativi.,atti normativi secondari.
Il fenomeno in base al quale il trascorrere di un periodo di tempo comporta l'estinzione del reato viene denominato:,prescrizione.,decorrenza.,perenzione.
"Se Sempronio, allo scopo di ucciderlo, spara mortalmente Tizio, agisce:",con dolo.,oltre l'intenzione.,con colpa specifica.
Agisce in stato di necessitÃ  chi commette il fatto per salvare altri da un pericolo attuale di un danno grave alla persona:,"da lui non volontariamente causato, nÃ© altrimenti evitabile.",solo se causato da terzi.,solo se prevedibile.
"Per caso fortuito come causa di esclusione della coscienza e volontÃ , si intende:",Un fatto imprevedibile del tutto estraneo alla volontÃ  del soggetto.,La violenza esercitata da altri ed alla quale il soggetto non poteva resistere o sottrarsi.,Un fatto colposo senza la previsione dell'evento.
I delitti contro l'ordine pubblico:,comprendono tutti quei fatti che possono turbare il senso sociale di sicurezza.,comprendono tutti quei fatti destinati a ledere o a mettere in pericolo la vita e l'integritÃ  fisica di un numero indeterminato di persone.,comprendono tutti quei fatti costituenti reati di falso che turbino l'ordine pubblico.
L'appropriazione indebita Ã¨ un reato:,a dolo specifico.,proprio.,a dolo generico.
Ãˆ imputabile l'autore di un reato che manchi parzialmente dell'udito e della parola?,"Si, se, al momento del fatto, la capacitÃ  di intendere o di volere era grandemente scemata, ma non esclusa, a causa dell'infermitÃ .","No, poichÃ© tale menomazione rende la persona comunque incapace di intendere e di volere.",La condizione d'imputabilitÃ  Ã¨ sempre valutata discrezionalmente dal Giudice.
Il dolo eventuale Ã¨ caratterizzato dall'accettazione:,delle possibili conseguenze della condotta concreta.,delle possibili conseguenze causate da altri.,delle possibili conseguenze della condotta astratta.
Il delitto Ã¨ preterintenzionale quando:,dall'azione o dall'omissione deriva un evento dannoso piÃ¹ grave di quello voluto dall'agente.,l'evento si verifica per un errore inabilitÃ .,l'evento Ã¨ comunque prevedibile e voluto.
"Con l'avviso orale il Questore, quando ricorrono le condizioni previste dalla legge puÃ² imporre alle persone che risultino definitivamente condannate per delitti non colposi il divieto di possedere o utilizzare programmi informatici ed altri strumenti di cifratura o crittazione di conversazioni e messaggi?",SÃ¬.,"No, puÃ² solo imporre il divieto di possedere o utilizzare, in tutto o in parte, qualsiasi apparato di comunicazione radiotrasmittente.","La legge nulla dispone in merito, si intende quindi che il Questore puÃ² imporre alle suddette persone qualsiasi misura sia di prevenzione che di sicurezza, anche di natura patrimoniale."
I delitti contro l'incolumitÃ  pubblica:,puniscono l'azione diretta a ledere o mettere in pericolo la vita di un numero indeterminato di persone.,"comprendono tutti quei fatti che possono ledere o mettere in pericolo l'armonica e pacifica coesistenza dei cittadini, turbando il regolare andamento della vita sociale.",comprendono tutti quei fatti costituenti reati di falso allorquando vi siano piÃ¹ persone offese.
PuÃ² il giudice discrezionalmente aggiungere la pena della multa non prevista dalla legge alla pena della reclusione?  ,"SÃ¬, ma solo per i delitti determinati da motivi di lucro.","SÃ¬, se la pena della reclusione applicata supera i due anni.","No, in nessun caso."
Riveste la qualifica di pubblico ufficiale (art. 357 c.p.):,"Chi esercita una funzione legislativa, giudiziaria, amministrativa.",I privati che esercitano professioni forensi o sanitarie.,"Chi presta, a qualunque titolo, un pubblico servizio."
L'imputato puÃ² proporre richiesta di riesame avverso tutte le ordinanze che dispongono le misure cautelari?,"No, solo avverso le ordinanze che dispongono le misure coercitive, salvo che si tratti di ordinanze emesse a seguito di appello del pubblico ministero",SÃ¬,"No, solo avverso le ordinanze che dispongono le misure interdittive"
"Ai sensi dell'art. 112 del codice penale, relativo alle circostanze aggravanti nel concorso di persone nel reato, la pena Ã¨ aumentata:","per chi, fuori del caso previsto dall'art. 111 del codice penale, ha determinato a commettere il reato un minore degli anni diciotto o una persona in stato di infermitÃ  o di deficienza psichica.",solo per chi ha organizzato la cooperazione nel reato.,solo per chi ha determinato a commettere il reato un minore degli anni diciotto.
Nel delitto di estorsione l'atto di disposizione patrimoniale puÃ² incidere:,indifferentemente su beni mobili o immobili o diritti di qualsiasi natura.,solo su beni immobili e non sui beni mobili.,solo su beni mobili.
Si definiscono di colpa incosciente quei casi in cui:,il soggetto non si rende conto di poter ledere con la sua azione interessi altrui.,"il soggetto non accetta il rischio del verificarsi dell'evento di reato, e quindi non lo vuole, in quanto Ã¨ sicuro di riuscire ad evitarlo.","il soggetto accetta il rischio che l'evento antigiuridico, conseguenza della sua azione od omissione, possa verificarsi."
Una circostanza aggravante ad effetto comune prevede un aumento di pena:,fino ad un terzo.,pari ad un terzo.,pari ad un mezzo.
"L'ordinamento penale prevede ipotesi in cui ad una persona puÃ² essere applicata una pena per un fatto previsto dalla legge come reato, se al momento in cui lo ha commesso, non era imputabile?","No, senza eccezioni.","Si, ma solo se ha commesso il fatto con dolo.","No, tranne se ha commesso un reato continuato."
L'errore sul fatto che costituisce un determinato reato:,non esclude la punibilitÃ  per un reato diverso.,esclude la punibilitÃ  per un reato diverso.,esclude la punibilitÃ  anche per i reati diversi legati dal vincolo della continuazione con quello su cui Ã¨ caduto l'errore.
La sospensione dall'esercizio di una professione o di un'arte Ã¨:,pena accessoria per le contravvenzioni.,"pena principale per i soli delitti contro l'economia pubblica, l'industria e il commercio.",pena principale per le contravvenzioni.
La misura del ricovero in riformatorio giudiziario:,"Ã¨ sostituita dal giudice con la libertÃ  vigilata, quando il minore abbia compiuto il diciottesimo anno di etÃ .",Ã¨ una misura (art. 223 c.p.) che puÃ² essere applicata soltanto ai minori di anni 16 e non puÃ² avere durata inferiore ad un anno e superiore a tre.,"puÃ² essere sostituita dal giudice con la libertÃ  vigilata, solo quando il minore abbia compiuto il sedicesimo anno di etÃ ."
L'ergastolo:,Ã¨ una pena principale per i delitti.,Ã¨ pena accessoria per i delitti.,Ã¨ pena principale per le contravvenzioni.  
L'interdizione legale Ã¨:,pena accessoria per i delitti.,pena accessoria per le contravvenzioni.,pena principale per i delitti.
"In materia penale, la colpa specifica rappresenta:","la colpa derivante dall'inosservanza di leggi, destinate alla generalitÃ  dei consociati.",la colpa derivante dall'inosservanza di regole cautelari scritte e non scritte.,la colpa derivante dall'inosservanza di leggi e regolamenti destinati esclusivamente ad alcune categorie professionali.
A norma di quanto dispone la legislazione vigente la persona alla quale Ã¨ stato fatto l'avviso orale del Questore puÃ² chiederne la revoca?,"Si, puÃ² chiederne la revoca in qualsiasi momento.","Si, puÃ² chiederne la revoca solo al Prefetto.","No, la misura non puÃ² essere revocata."
Il reo Ã¨:,la persona fisica autrice del reato.,la persona fisica o giuridica autrice del reato.,colui che ha subito un danno penalmente risarcibile.
Tizio tenta senza successo di togliersi la vita. Tizio risponde di:,nessun reato.,istigazione al suicidio.,tentato suicidio.
"Nell'ipotesi prevista dall'art. 51, co. 4, c.p., la causa di giustificazione puÃ² essere invocata:",solo nei casi in cui l'ordine non ha per oggetto un comportamento manifestamente criminoso.,solo nei casi in cui l'ordine ha per oggetto un comportamento illecito.,in presenza di ogni genere di ordine.
"Tizio sul luogo e nell'immediatezza di un reato a cui Ã¨ estraneo, interrogato dalla P.G. dichiara il falso; egli risponde di:",favoreggiamento personale.,falsa testimonianza.,false informazioni al P.M.
La richiesta di riesame puÃ² essere proposta anche dal difensore dell'imputato?,"SÃ¬, e il difensore ha dieci giorni dalla notificazione dell'avviso di deposito dell'ordinanza che dispone la misura per proporla","SÃ¬, ed il difensore ha quindici giorni dalla notificazione dell'avviso di deposito dell'ordinanza che dispone la misura per proporla","No, poichÃ© puÃ² essere formulata solo dall'imputato personalmente"
Le prescrizioni imposte con la libertÃ  vigilata:,"non necessitano di accettazione da parte dell'interessato, che ne deve solo prendere atto.",sono determinate dal direttore dell'Istituto penitenziario.,possono essere modificate dal magistrato di sorveglianza se in senso migliorativo ovvero dal tribunale di sorveglianza se in senso peggiorativo.
Un reato commesso nel territorio dello Stato Ã¨ punito secondo la legge italiana:,sempre.,se commesso da un cittadino italiano.,se commesso da uno straniero ancora presente nel territorio dello Stato.
"In quale tipologia di delitti, l'evento che si verifica non Ã¨ mai attribuibile al volere del soggetto attivo?",Delitti colposi.,Delitti aberranti.,Delitti a dolo generico.
"Se il soggetto attivo, dopo aver dato inizio alla condotta criminale, desiste volontariamente dal completare l'azione:  ",risponde solo degli atti compiuti se questi costituiscono reato.,non Ã¨ punibile in ogni caso.,"risponde del delitto tentato, ma solo nei reati di pericolo."
"Il soggetto che, al fine di procurare a sÃ© o ad altri un vantaggio induce taluno in errore, sostituendo illegittimamente la propria all'altrui persona, commette il reato di:",sostituzione di persona.,falsitÃ  in registri e notificazioni.,falsa attestazione o dichiarazione a un pubblico ufficiale sulla identitÃ  o su qualitÃ  personali proprie o di altri.
In base all'art. 22 del c.p.:,"la pena dell'ergastolo Ã¨ perpetua, ed Ã¨ scontata in uno degli istituti a ciÃ² destinati, con l'obbligo del lavoro e con l'isolamento notturno.","il condannato all'ergastolo non puÃ², in nessun tempo, essere ammesso al lavoro all'aperto.","la pena dell'ergastolo Ã¨ perpetua, ed Ã¨ scontata in uno degli istituti a ciÃ² destinati, con l'obbligo del lavoro ma senza alcuna forma di isolamento notturno."
"In materia penale, qual Ã¨ la differenza sostanziale tra l'esercizio di un diritto e l'adempimento di un dovere?",L'esercizio del diritto presuppone una facoltÃ  di agire mentre l'adempimento del dovere costituisce un obbligo imposto al soggetto.,"Il primo puÃ² essere invocato solo per determinati reati, il secondo per qualsiasi tipo di reato.","Il primo Ã¨ una causa di esclusione del reato, il secondo una causa di giustificazione."
Nell'omissione propria manca:,l'evento in senso naturalistico.,l'antigiuridicitÃ .,l'evento in senso giuridico.
"In materia penale, la colpa generica rappresenta:",la colpa derivante dall'inosservanza di regole cautelari non scritte.,la colpa derivante dall'inosservanza di leggi e regolamenti destinati alla generalitÃ  dei consociati.,la colpa derivante dall'inosservanza di leggi e regolamenti destinati esclusivamente ad alcune categorie professionali.
I delitti contro la famiglia:,"comprendono tutti quei fatti che offendono o mettono in pericolo l'istituto familiare nei suoi vari aspetti: matrimonio, morale familiare, stato di famiglia e assistenza familiare.",comprendono tutti quei fatti che offendono la libertÃ  in campo sessuale ovvero i beni del pudore e dell'onore sessuale.,comprendono tutti quei fatti che offendono la religione e le sue manifestazioni esteriori ovvero il rispetto per le entitÃ  che trascendono la vita dei singoli.
Si ha il delitto di truffa previsto dall'art. 640 c.p. quando:,"chiunque, con artifizi o raggiri, inducendo taluno in errore, procura a sÃ© o ad altri un ingiusto profitto con altrui danno.",il pubblico ufficiale che sfrutta l'errore altrui per procurare a sÃ© ingiusto profitto.,chiunque induce taluno in errore causando un danno ad altri.
"Chi si introduce in una appartenenza dell'abitazione altrui, contro la volontÃ  espressa o tacita di chi ha diritto di escluderlo, commette il reato di:",violazione di domicilio.,furto.,violenza privata.
"Nel diritto penale, l'oblazione comporta:",l'estinzione del reato.,l'esclusione della punibilitÃ  ma non l'estinzione del reato.,l'estinzione della pena ma non del reato.
La norma penale ha carattere statuale nel senso che:,puÃ² provenire soltanto dallo Stato.,Ã¨ concordata a livello internazionale tra vari Stati.,puÃ² provenire dallo Stato e da altri enti presenti all'interno dello stesso.
Quando il giudice dispone il ricovero in un riformatorio giudiziario applica:  ,una misura di sicurezza personale detentiva.,una misura di sicurezza personale non detentiva.,una pena sostitutiva.
"Non Ã¨ imputabile chi, nel momento in cui ha commesso il fatto che costituisce reato non aveva compiuto gli anni:",quattordici.,quindici.,dieci.
La libertÃ  vigilata Ã¨ disposta dal giudice previo accertamento della pericolositÃ  sociale del soggetto e la sua applicazione puÃ² essere obbligatoria o facoltativa. Indicare in quale dei seguenti casi il giudice puÃ² invece ordinare la libertÃ  vigilata facoltativamente:,qualora l'imputato sia stato condannato a piÃ¹ di un anno di reclusione.,quando concede la liberazione condizionale.,"quando un contravventore abituale o professionale, non piÃ¹ sottoposto a misura di sicurezza, commetta un nuovo reato che sia indice della riacquisita abitualitÃ  o professionalitÃ ."
I seguenti requisiti devono caratterizzare la reazione in ordine alla legittima difesa:,Proporzione e necessitÃ .,Solo proporzione.,Proporzione ed immediatezza.
Il delitto Ã¨ doloso quando:,l'evento dannoso o pericoloso Ã¨ dall'agente preveduto e voluto come conseguenza della propria azione od omissione.,"l'evento dannoso o pericoloso non Ã¨ dall'agente preveduto nÃ© voluto, purchÃ© sia conseguenza della sua azione od omissione.",l'evento dannoso o pericoloso Ã¨ dall'agente preveduto ma non voluto come conseguenza della propria azione od omissione.
L'adempimento del dovere puÃ² scaturire da un ordine legittimo della pubblica autoritÃ . Quest'ultimo si concretizza quando:,"Quando il superiore ha la competenza ad emanarlo, l'inferiore ad eseguirlo e siano state osservate le procedure previste per la sua emissione.",Quando il superiore ha la competenza ad emanarlo e siano state osservate le procedure previste dalla legge per la sua emissione.,Quando il superiore ha la competenza ad emanarlo e l'ordine viene emesso per tutelare un bene primario.
"Uno dei seguenti delitti viene disciplinato nel titolo II del libro II del codice penale, relativo ai delitti contro la pubblica amministrazione. Si tratta di:",Concussione.,Attentato contro la costituzione dello Stato.,False informazioni al P.M.
Con quale criterio si calcola il tempo quando la legge penale stabilisce un termine per il verificarsi di un effetto giuridico?,Il giorno della decorrenza non Ã¨ computato nel termine.,I giorni festivi non sono computati nel termine.,Il giorno finale non Ã¨ computato nel termine oltre ai giorni festivi.
L'indulto estingue le pene accessorie?,"No, salvo che il decreto disponga diversamente.","Si, in ogni caso.","No, in nessun caso."
L'ubriachezza volontaria o colposa comporta:,nÃ© esclusione nÃ© diminuzione dell'imputabilitÃ .,esclusione dell'imputabilitÃ .,diminuzione dell'imputabilitÃ .
L'omicidio premeditato Ã¨:,un'ipotesi aggravata di omicidio volontario.,un omicidio caratterizzato da una colpa particolarmente grave.,l'omicidio involontariamente perpetrato da chi voleva solo ferire.  
Il reato di sequestro di persona di cui all'art. 605 c.p.:,Ã¨ un reato permanente.,Ã¨ un reato abituale.,Ã¨ un reato continuato.
Il principio del favor rei di cui all'art. 2 del Codice Penale si applica:,"sia nell'ipotesi che la vecchia norma fosse piÃ¹ favorevole al reo che nell'ipotesi che la nuova norma sia piÃ¹ favorevole al reo, salvo, in ogni caso, che sia stata pronunciata sentenza irrevocabile.",solo se la vecchia norma era piÃ¹ favorevole al reo rispetto alla nuova.,solo se la vecchia norma era piÃ¹ favorevole al reo rispetto alla nuova e solo se non sia stata pronunciata sentenza irrevocabile.
Nel delitto di furto il reo:,deve finalizzare la sua condotta a trarre profitto.,deve finalizzare la sua condotta a trarre un ingiusto profitto.,deve realizzare concretamente il profitto.
Il costringimento psichico Ã¨ parificato al costringimento fisico:,sempre.,"mai,sono disciplinate diversamente",nei reati dolosi.
Dispone la legge n. 689/1981 che nella determinazione della sanzione amministrativa pecuniaria fissata dalla legge tra un limite minimo ed un limite massimo e nell'applicazione delle sanzioni accessorie facoltative:,"si ha riguardo, tra l'altro, all'opera svolta dall'agente per l'eliminazione o attenuazione delle conseguenze della violazione.",si ha riguardo solo al dato oggettivo della gravitÃ  della violazione.,si ha riguardo solo alla personalitÃ  dell'agente.
Risulta imputabile la persona che si Ã¨ messa in stato di incapacitÃ  di intendere o di volere al fine di commettere un reato e di prepararsi una scusa?,"Si, Ã¨ imputabile.","Si, ma la pena Ã¨ diminuita.","Si, e la pena Ã¨ aumentata."
La durata minima e massima della reclusione Ã¨ la seguente:,La reclusione si estende da quindici giorni a ventiquattro anni.,La reclusione si estende da due a trenta anni.,La reclusione si estende da uno a venti anni.
"Qualsiasi persona che, legalmente richiesta dal pubblico ufficiale, faccia uso legittimo delle armi:",non Ã¨ punibile.,non Ã¨ imputabile.,Ã¨ punibile.
"Del fatto commesso dalla persona costretta mediante violenza fisica alla quale non poteva resistere o comunque sottrarsi, risponde:",l'autore della violenza.,"sia l'autore della violenza, sia chi ha commesso il fatto.","chi ha commesso il fatto, se imputabile."
"Classificando i reati in base alla struttura e al tipo di condotta previsto dalla singola norma incriminatrice, i reati che richiedono per la loro realizzazione sia un'azione che un'omissione sono:",reati a condotta mista.,sempre reati a forma vincolata.,i c.d. reati di posizione.
Il compimento di fatti incompatibili con la volontÃ  di esercitare il diritto di querela consente la successiva presentazione della querela?,"No, in nessun caso.","SÃ¬, purchÃ© non vi sia stata rinuncia espressa.","SÃ¬, purchÃ© non vi sia stata rinuncia scritta o i fatti siano equivoci."
"Ai sensi dell'art. 101 del c.p. sono considerati reati della stessa indole, tra gli altri:  ","quelli che, pur essendo preveduti da disposizioni diverse di legge o del codice penale, presentano caratteri fondamentali comuni.",solo quelli che violano una stessa disposizione di legge.,quelli che sono commessi nei confronti dello stesso soggetto.
"L'arresto si estende, di norma, da:",5 giorni a 3 anni.,15 giorni a 3 anni.,15 giorni a cinque anni.
"Colui che, in quanto addetto ad un carcere, non libera il detenuto, pur avendo ricevuto l'ordine, commette il reato di limitazione indebita della libertÃ  personale. Esso:",comporta la pena della reclusione fino a 3 anni.,"Ã¨ un reato proprio, in quanto puÃ² essere commesso solo da un pubblico ufficiale o da incaricato di pubblico servizio.",comporta la pena della reclusione fino a 6 mesi.
I reati speciali o propri:,sono quei reati per il quale la legge richiede una speciale qualifica del soggetto attivo. Essi a loro volta si distinguono in reati propri esclusivi e reati propri non esclusivi.,sono quei reati che offendono l'interesse di piÃ¹ soggetti passivi con qualifiche diverse.,sono quei reati che possono avere ad oggetto qualsiasi bene giuridico.
Il reato commesso su una nave italiana si considera commesso nel territorio dello Stato italiano:,"ovunque la nave si trovi, salvo che sia soggetta, secondo il diritto internazionale, a una legge territoriale straniera.",solo se la nave si trova in acque territoriali italiane e non si tratti di nave da guerra.,solo se si tratta di nave da guerra.
"Il concorso di cause sopravvenute, indipendenti dall'azione od omissione del colpevole, che consistono nel fatto illecito altrui:","non esclude il rapporto di causalitÃ  fra l'azione od omissione e l'evento, a meno che le cause sopravvenute non siano state da sole sufficienti a determinarlo.",esclude il rapporto di casualitÃ  fra l'azione od omissione e l'evento.,non esclude il rapporto di causalitÃ  fra l'azione od omissione e l'evento se era conosciuto dal colpevole.
L'interdizione perpetua dai pubblici uffici Ã¨ conseguenza della:,condanna all'ergastolo.,condanna alla pena della reclusione per quattro anni.,condanna alla pena della reclusione per due anni.
La vicenda costitutiva del rapporto di esecuzione di misure di sicurezza discende da fattispecie il cui atto giuridico terminale presenta diverso contenuto. Essa puÃ² derivare da sentenza di proscioglimento?,"Si, puÃ² derivare anche da sentenza di proscioglimento.","No, puÃ² derivare solo da sentenza di condanna del giudice.","Si, essa puÃ² derivare solo da sentenza di proscioglimento ovvero di condanna del giudice."
"Ai sensi della legge n. 689/1981, l'obbligazione di pagare la somma dovuta a titolo di sanzione per la violazione amministrativa si trasmette agli eredi?",No.,Solo se si tratta di parenti entro il II grado.,"Si, in ogni caso."
"Ai sensi dellâ€™art. 610 c.p.p., il ricorso per Cassazione Ã¨ assegnato alle sezioni unite della Corte:","dal Presidente della Corte di Cassazione, su richiesta del Procuratore Generale, dei difensori delle parti o anche di ufficio, quando le questioni proposte sono di speciale importanza o quando occorre dirimere contrasti insorti tra le decisioni delle singole sezioni","dalla singola sezione alla quale il ricorso Ã¨ stato assegnato, qualora ritenga che le questioni proposte sono di speciale importanza","dal Presidente della Corte di Cassazione, qualora lo ritenga opportuno"
L'istituto della riabilitazione del condannato:,Ã¨ finalizzato alla riabilitazione sociale del condannato che abbia scontato la pena inflittagli.,"puÃ² anche essere concesso piÃ¹ di una volta, purchÃ© la somma delle pene che avrebbero dovuto essere inflitte non superi i 2 anni di reclusione e/o i 1.549,37 euro di multa.","consiste nella possibilitÃ , per il giudice, di rinunciare alla condanna, allo scopo di dare all'imputato minorenne un'altra possibilitÃ  per evitare l'impatto con il carcere.  "
"Che cosa deve intendersi, agli effetti della legge penale, per pubblico servizio?","Un'attivitÃ  disciplinata nelle stesse forme della pubblica funzione, ma caratterizzata dalla mancanza dei poteri tipici di quest'ultima, e con esclusione dello svolgimento di semplici mansioni di ordine e della prestazione di opera meramente materiale.",Tutte quelle professioni il cui esercizio sia per legge vietato senza una speciale abilitazione dello Stato.,"Esclusivamente quello disciplinato da norme di diritto pubblico e da atti autoritativi, e caratterizzato dalla formazione e dalla manifestazione della volontÃ  della pubblica amministrazione o dal suo svolgersi per mezzo di poteri autoritativi o certificativi."
"Quale pena accessoria consegue alla condanna per delitti commessi con violazione dei doveri inerenti all'ufficio di tutore o curatore, anche provvisorio, e di ogni altro ufficio attinente alla tutela o alla cura?",L'interdizione temporanea dai pubblici uffici.,Nessuna pena accessoria.,"L'interdizione temporanea dai pubblici uffici, se il condannato ha superato l'etÃ  di anni ventuno."
"Quale tra le seguenti non Ã¨ una circostanza del reato (artt. 54, 61 e 62 c.p.)?",L'aver agito in stato di necessitÃ .,L'aver agito per motivi futili.,L'aver agito per motivi di particolare valore morale o sociale.
"Nel reato continuato, il disegno criminoso Ã¨:","il progetto di compiere piÃ¹ reati, deliberato nelle linee essenziali.",il verificarsi dell'evento criminoso.,il fine ultimo delle proprie azioni.
"L'esercizio di un diritto o l'adempimento di un dovere imposto da una norma giuridica o da un ordine legittimo della pubblica autoritÃ , ai sensi dell'art.51 del codice penale:",esclude la punibilitÃ .,comporta una diminuzione della pena.,Ã¨ irrilevante.
Una persona che si mette in stato d'incapacitÃ  per commettere un reato Ã¨ imputabile?,"SÃ¬, sempre.","SÃ¬, ma la pena Ã¨ diminuita.",Mai.
Quando si ha concorso formale di reati?,Quando con una sola azione il soggetto viola piÃ¹ norme penali.,Quando con piÃ¹ azioni il soggetto viola piÃ¹ norme penali.,Quando piÃ¹ persone concorrono nel reato.
Il delitto di concussione Ã¨ un delitto proprio:,del Pubblico Ufficiale e dell'incaricato di pubblico servizio.,del solo Pubblico Ufficiale e del privato cittadino.,"del Pubblico Ufficiale, dell'incaricato di pubblico servizio e dell'esercente un servizio di pubblica necessitÃ ."
L'esclusione d'ufficio del responsabile civile qualora il giudice accerti che non esistono i requisiti per la citazione o per l'intervento Ã¨ disposta:,dal giudice con ordinanza fino alla dichiarazione di apertura del dibattimento,dal giudice con decreto in ogni stato e grado del processo,dal giudice con decreto fino alla chiusura del dibattimento
"Le misure di sicurezza presuppongono la pericolositÃ  sociale dell'individuo, sono cioÃ¨ applicabili solo a colui che sia pericoloso per la societÃ . La pericolositÃ  sociale presuppone due condizioni:","che un individuo abbia commesso un reato, o un reato impossibile, o un reato putativo, o un accordo o un'istigazione per commettere un reato ed Ã¨ probabile che commetta nuovi fatti delittuosi; che si tratti di persona socialmente pericolosa.",che un individuo sia dichiarato delinquente abituale; che si tratti di persona socialmente pericolosa.,che un individuo abbia commesso un reato ed Ã¨ probabile che commetta nuovi fatti delittuosi della stessa natura; che si tratti di persona socialmente pericolosa.
"Chiunque, fuori dei casi di concorso nel reato, aiuta taluno, condannato per contravvenzione, a sottrarsi all'esecuzione della pena e, successivamente, nel termine di tre mesi, ne procura la presentazione all'AutoritÃ  commette il delitto di procurata inosservanza di pena?  ","SÃ¬, ma la pena Ã¨ inferiore a quella edittale.","SÃ¬, e la pena Ã¨ quella edittale.","SÃ¬, ma si configura l'attenuante comune di essersi adoperato per elidere le conseguenze del reato."
La pena della multa:,Ã¨ sempre inflitta dal giudice con sentenza di condanna.,Ã¨ pena principale sia per i delitti che per le contravvenzioni.,"deriva automaticamente dalla condanna, anche senza una espressa dichiarazione del giudice."
Quando un individuo viola piÃ¹ volte la legge penale:,"non Ã¨ detto che vengano applicate le norme relative al concorso di reati potendo essere applicate infatti anche quelle relative al reato continuato, composto o complesso.",si applicano necessariamente le norme relative al concorso di reati.,si applicano necessariamente le norme relative al reato complesso.
"Chi, dopo aver procurato l'evasione di una persona sottoposta a misura di sicurezza detentiva, nel termine di tre mesi dalla evasione, ne procura la cattura, commette il delitto di procurata inosservanza di misure di sicurezza detentive?","SÃ¬, ma la pena Ã¨ inferiore a quella edittale.","No, perchÃ© commette il delitto di procurata evasione.","SÃ¬, e la pena Ã¨ quella edittale."
Nessuno puÃ² essere sottoposto a pene che non siano (art. 1 c.p.):,stabilite dalla legge.,stabilite dalla legge regionale.,stabilite dal regolamento.
"Attenua il reato, quando non ne Ã¨ elemento costitutivo o circostanza attenuante speciale, l'essere concorso a determinare l'evento, insieme con l'azione del colpevole:",il fatto doloso della persona offesa.,il fatto doloso di un terzo.,il fatto colposo della persona offesa o di un terzo.
Il delitto di interesse privato in atti d'ufficio:,Ã¨ stato abrogato.,Ã¨ un delitto proprio dei Pubblici Ufficiali e degli incaricati di pubblico servizio che rivestano la qualitÃ  di pubblico impiegato.,Ã¨ un delitto proprio dei Pubblici Ufficiali e degli incaricati di pubblico servizio. 
